index,phi_0,scl_resistance
1,0.551,11778980235.643631
2,0.57,12699079065.994122
3,0.487,10451029066.231659
4,0.498,10373382005.313416
5,0.678,14162313456.50775
6,0.718,15080168467.81205
7,0.775,16285608503.81988
8,0.814,17382750143.864063
9,0.4,8437020125.887736
10,0.489,14956920030.426825
11,0.438,9083442100.572935
12,0.691,14635634715.134169
