index,phi_0,scl_resistance
1,0.241,191486621.39812076
2,0.225,185282885.64365298
3,0.205,170165110.05545756
4,0.211,181160067.581619
5,0.299,218785768.19946423
6,0.266,200528651.36903623
7,0.219,189931093.7280266
8,0.123,138134672.01612362
9,0.26,244170671.72189364
10,0.239,195537583.8325409
11,0.193,164732571.24137112
12,0.23,195754766.40619856
13,0.242,190484429.6313503
14,0.153,147555546.3789823
15,0.321,265416039.74361423
