index,phi_0,scl_resistance
1,0.551,1573082005.6294737
2,0.57,1695961141.5538728
3,0.487,1395734217.6911778
4,0.498,1385364458.0110638
5,0.678,1891375994.42583
6,0.718,2013955468.469702
7,0.775,2174941902.9125485
8,0.814,2321465093.9742975
9,0.4,1126763461.3226473
10,0.489,1997495648.0856745
11,0.438,1213093071.8727357
12,0.691,1954588016.1739516
