index,phi_0,scl_resistance
1,0.241,5909460244.723092
2,0.225,5718007027.040623
3,0.205,5251458016.071475
4,0.211,5590772919.216546
5,0.299,6751938019.721217
6,0.266,6188505936.033146
7,0.219,5861455173.3566065
8,0.123,4262968069.189292
9,0.26,7535340416.638893
10,0.239,6034476819.1671095
11,0.193,5083804673.423741
12,0.23,6041179281.070403
13,0.242,5878531648.45828
14,0.153,4553705260.703671
15,0.321,8190992789.597636
