index,phi_0,scl_resistance
1,0.241,789208011.8978137
2,0.225,763639447.7579247
3,0.205,701331859.2216707
4,0.211,746647341.3517932
5,0.299,901720861.1833664
6,0.266,826474544.9053837
7,0.219,782796937.8968825
8,0.123,569319094.357692
9,0.26,1006344197.7641717
10,0.239,805903966.8725868
11,0.193,678941766.7665476
12,0.23,806799080.2016709
13,0.242,785077499.979839
14,0.153,608147026.4187223
15,0.321,1093906527.373254
